Temperatura de Melting (Cº),Conteúdo GC (%)
85.011,50.46
85.303,50.84
84.942,49.88
86.489,53.74
85.627,51.54
83.516,47.04
84.117,53.03
79.405,41.94
79.806,42.71
78.871,39.09
82.913,48.00
86.655,53.63
83.090,49.21
87.725,58.64
85.296,54.21
80.718,44.00
85.287,50.78
86.853,55.67
87.834,56.97
86.525,56.34
84.338,51.52
86.358,55.10
86.124,55.18
86.209,52.71
84.645,52.48
85.437,50.92
83.558,47.32
86.097,52.59
87.559,57.17
86.337,53.39
84.495,50.43
85.074,51.07
85.115,50.28
82.254,43.39
82.166,47.26
83.278,46.30
85.914,52.99
83.817,50.17
80.513,41.74
79.152,35.56
84.573,50.66
81.637,47.95
84.457,51.89
85.547,53.72
80.836,47.52
83.606,47.39
83.498,49.35
84.309,49.90
84.673,50.87
85.244,56.28
81.050,43.54
76.851,32.12
78.726,39.61
85.536,52.56
86.886,54.26
84.866,54.59
88.620,58.61
89.432,60.76
87.900,59.76
87.510,56.34
86.973,56.89
87.231,57.91
86.625,55.09
85.897,54.29
88.183,58.43
85.914,54.14
86.843,56.32
88.645,58.39
86.991,57.58
87.060,55.79
88.530,59.27
88.212,58.99
87.780,56.16
86.890,55.67
87.141,54.66
83.414,47.25
81.917,42.87
80.168,39.64
79.451,37.92
81.660,47.54
80.822,40.66
82.651,48.19
84.787,51.71
87.498,58.62
88.552,58.48
81.847,42.15
82.168,43.40
82.197,44.27
85.564,54.13
86.453,53.94
80.687,43.07
84.659,49.69
85.035,50.86
80.878,42.28
81.300,43.03
81.869,49.06
81.189,43.88
85.636,52.42
83.135,47.20
81.345,41.45
83.526,48.33
85.378,50.91
85.424,52.35
86.139,52.59
85.275,51.39
85.007,49.84
87.524,56.12
88.015,57.52
86.210,52.68
85.907,52.57
85.320,51.80
86.130,53.15
84.937,52.60
85.127,54.12
85.198,50.13
85.750,52.28
86.119,53.64
86.389,54.02
86.541,54.03
86.374,53.57
75.671,32.34
85.844,51.92
85.264,50.53
86.067,53.55
86.177,53.03
85.393,51.10
84.650,50.26
84.857,53.05
87.094,54.87
86.039,52.76
86.305,53.64
85.124,51.28
86.617,53.94
86.131,52.91
87.160,55.76
82.928,47.07
83.467,46.79
85.511,51.70
83.428,56.48
84.187,58.33
84.518,48.96
81.549,45.89
86.756,55.00
84.682,51.69
85.265,50.52
85.419,51.92
86.525,53.42
86.484,53.52
87.292,54.94
86.687,53.93
87.032,55.70
86.779,55.16
83.956,47.92
82.837,46.41
85.023,50.37
84.422,48.82
83.610,46.97
83.103,47.34
81.539,42.56
85.581,50.90
83.869,48.15
84.161,47.70
83.455,46.58
85.820,52.37
85.594,51.68
85.616,51.74
82.767,47.27
85.745,51.68
81.830,42.26
83.233,48.82
86.642,54.72
83.684,48.87
83.031,46.48
84.508,49.46
84.393,49.45
83.453,46.33
83.145,49.40
85.015,49.56
80.020,43.23
77.440,37.04
77.656,36.32
79.954,39.71
82.462,48.40
81.957,45.67
82.165,45.10
83.926,51.75
83.603,47.83
85.058,50.34
86.980,56.74
85.175,51.55
81.500,47.88
82.229,43.87
83.341,50.70
80.125,41.86
85.445,54.48
86.743,54.44
84.011,50.00
82.876,46.14
83.082,50.51
86.341,53.45
87.320,55.34
84.794,54.17
83.059,47.83
86.690,55.43
83.012,46.32
81.301,48.30
86.697,55.77
86.459,59.14
80.689,43.86
86.834,56.83
86.476,54.79
88.306,57.82
89.246,60.01
86.103,57.21
87.844,56.43
86.441,56.27
87.772,59.26
87.721,58.39
87.932,59.71
85.989,53.14
87.073,57.33
86.143,57.62
88.265,57.38
86.935,57.31
86.879,56.39
88.304,57.43
86.412,54.50
88.951,59.59
84.004,51.11
81.745,42.01
79.907,37.94
79.200,37.02
83.939,51.16
88.552,58.48
87.498,58.62
84.787,51.71
77.803,35.84
78.512,41.50
81.022,41.20
80.149,39.26
80.573,40.63
81.579,43.11
82.850,50.56
86.635,54.52
86.836,54.52
86.194,52.83
87.399,55.64
87.061,54.83
72.011,44.44
86.646,54.42
84.232,49.11
83.816,46.91
86.541,54.18
85.005,51.10
85.470,51.78
85.119,50.48
82.114,46.83
86.028,52.00
84.151,48.21
81.365,49.61
80.960,46.43
86.362,52.80
84.589,50.08
84.880,50.33
83.450,49.19
85.779,51.97
86.263,53.63
83.432,48.93
84.521,53.42
84.460,49.33
81.348,47.13
84.488,48.39
86.275,52.76
85.357,50.98
86.091,53.23
83.759,48.15
85.429,51.16
85.863,51.52
86.737,54.15
84.548,48.97
85.365,51.43
